,n,m,c,iter1,iter2,diff
0,10,10,5,0,1,3.333333333333334
1,10,10,5,2,3,3.333333333333332
2,10,10,5,10,11,3.333333333333332
3,10,10,5,36,37,3.3333333333333357
4,10,10,10,9,10,3.333333333333334
5,10,10,10,20,21,3.333333333333334
6,10,10,10,100,101,3.333333333333332
7,10,10,15,0,1,3.333333333333333
8,10,10,15,850,851,3.333333333333334
9,10,10,20,0,1,3.333333333333333
10,10,10,20,47,48,3.333333333333334
11,10,10,26,2,3,3.3333333333333335
12,10,10,26,3,4,3.333333333333333
13,10,15,5,2,3,2.222222222222225
14,10,15,5,10,11,2.222222222222225
15,10,15,5,11,12,2.222222222222218
16,10,15,5,14,15,2.222222222222225
17,10,15,5,30,31,2.2222222222222214
18,10,15,5,270,271,2.2222222222222214
19,10,15,10,2,3,2.222222222222218
20,10,15,10,5,6,2.2222222222222197
21,10,15,10,47,48,2.222222222222223
22,10,15,10,67,68,2.222222222222223
23,10,15,10,440,441,2.222222222222225
24,10,15,15,2,3,2.222222222222218
25,10,15,15,3,4,2.2222222222222197
26,10,15,15,118,119,2.222222222222223
27,10,15,15,263,264,2.222222222222223
28,10,15,20,0,1,2.2222222222222197
29,10,15,20,2,3,2.222222222222224
30,10,15,20,7,8,2.222222222222218
31,10,15,20,70,71,2.2222222222222197
32,10,15,26,1,2,2.2222222222222197
33,10,15,26,5,6,2.222222222222218
34,10,15,26,9,10,2.2222222222222197
35,10,15,26,194,195,2.222222222222223
36,10,20,5,7,8,3.3333333333333357
37,10,20,5,8,9,1.6666666666666643
38,10,20,5,198,199,1.6666666666666679
39,10,20,5,357,358,1.6666666666666679
40,10,20,10,0,1,6.666666666666667
41,10,20,10,3,4,1.666666666666666
42,10,20,10,9,10,1.6666666666666679
43,10,20,10,194,195,1.6666666666666643
44,10,20,10,239,240,1.6666666666666679
45,10,20,15,0,1,1.666666666666666
46,10,20,15,4,5,1.666666666666666
47,10,20,15,6,7,1.6666666666666679
48,10,20,15,107,108,1.666666666666666
49,10,20,20,0,1,1.666666666666667
50,10,20,20,1,2,1.666666666666666
51,10,20,20,19,20,1.666666666666666
52,10,20,20,30,31,1.6666666666666679
53,10,20,20,46,47,1.666666666666666
54,10,20,26,7,8,1.666666666666666
55,10,20,26,8,9,1.6666666666666679
56,10,20,26,12,13,1.666666666666666
57,10,20,26,749,750,1.6666666666666679
58,10,40,5,0,1,1.6666666666666679
59,10,40,5,4,5,1.6666666666666679
60,10,40,5,75,76,0.8333333333333321
61,10,40,5,145,146,0.8333333333333321
62,10,40,5,240,241,0.8333333333333357
