,Unnamed: 0,n,m,c,tipoFrec,maxDist,maxDist%
0,0,10.0,200.0,4.0,1.0,132.0,34.0
1,1,10.0,200.0,4.0,1.0,133.0,33.5
2,2,10.0,200.0,4.0,1.0,130.0,35.0
3,3,10.0,200.0,4.0,1.0,132.0,34.0
4,4,10.0,200.0,4.0,1.0,132.0,34.0
5,5,10.0,200.0,4.0,1.0,133.0,33.5
6,6,10.0,200.0,4.0,1.0,129.0,35.5
7,7,10.0,200.0,4.0,1.0,130.0,35.0
8,8,10.0,200.0,4.0,1.0,136.0,32.0
9,9,10.0,200.0,4.0,1.0,132.0,34.0
10,10,10.0,200.0,4.0,1.0,138.0,31.0
11,11,10.0,200.0,4.0,1.0,131.0,34.5
12,12,10.0,200.0,4.0,1.0,128.0,36.0
13,13,10.0,200.0,4.0,1.0,133.0,33.5
14,14,10.0,200.0,4.0,1.0,130.0,35.0
15,15,10.0,200.0,4.0,1.0,131.0,34.5
16,16,10.0,200.0,4.0,1.0,131.0,34.5
17,17,10.0,200.0,4.0,1.0,136.0,32.0
18,18,10.0,200.0,4.0,1.0,127.0,36.5
19,19,10.0,200.0,4.0,1.0,134.0,33.0
20,20,10.0,200.0,4.0,1.0,133.0,33.5
21,21,10.0,200.0,4.0,1.0,129.0,35.5
22,22,10.0,200.0,4.0,1.0,135.0,32.5
23,23,10.0,200.0,4.0,1.0,132.0,34.0
24,24,10.0,200.0,4.0,1.0,133.0,33.5
25,25,10.0,200.0,4.0,1.0,131.0,34.5
26,26,10.0,200.0,4.0,1.0,131.0,34.5
27,27,10.0,200.0,4.0,1.0,130.0,35.0
28,28,10.0,200.0,4.0,1.0,129.0,35.5
29,29,10.0,200.0,4.0,1.0,130.0,35.0
30,30,10.0,200.0,4.0,1.0,128.0,36.0
31,31,10.0,200.0,4.0,1.0,133.0,33.5
32,32,10.0,200.0,4.0,1.0,126.0,37.0
33,33,10.0,200.0,4.0,1.0,129.0,35.5
34,34,10.0,200.0,4.0,1.0,126.0,37.0
35,35,10.0,200.0,4.0,1.0,126.0,37.0
36,36,10.0,200.0,4.0,1.0,130.0,35.0
37,37,10.0,200.0,4.0,1.0,126.0,37.0
38,38,10.0,200.0,4.0,1.0,136.0,32.0
39,39,10.0,200.0,4.0,1.0,130.0,35.0
40,40,10.0,200.0,4.0,1.0,132.0,34.0
41,41,10.0,200.0,4.0,1.0,132.0,34.0
42,42,10.0,200.0,4.0,1.0,126.0,37.0
43,43,10.0,200.0,4.0,1.0,130.0,35.0
44,44,10.0,200.0,4.0,1.0,127.0,36.5
45,45,10.0,200.0,4.0,1.0,129.0,35.5
46,46,10.0,200.0,4.0,1.0,132.0,34.0
47,47,10.0,200.0,4.0,1.0,134.0,33.0
48,48,10.0,200.0,4.0,1.0,129.0,35.5
49,49,10.0,200.0,4.0,1.0,125.0,37.5
50,50,10.0,200.0,4.0,1.0,132.0,34.0
51,51,10.0,200.0,4.0,1.0,126.0,37.0
52,52,10.0,200.0,4.0,1.0,126.0,37.0
53,53,10.0,200.0,4.0,1.0,131.0,34.5
54,54,10.0,200.0,4.0,1.0,131.0,34.5
55,55,10.0,200.0,4.0,1.0,128.0,36.0
56,56,10.0,200.0,4.0,1.0,125.0,37.5
57,57,10.0,200.0,4.0,1.0,128.0,36.0
58,58,10.0,200.0,4.0,1.0,125.0,37.5
59,59,10.0,200.0,4.0,1.0,132.0,34.0
60,60,10.0,200.0,4.0,1.0,133.0,33.5
61,61,10.0,200.0,4.0,1.0,130.0,35.0
62,62,10.0,200.0,4.0,1.0,133.0,33.5
63,63,10.0,200.0,4.0,1.0,129.0,35.5
64,64,10.0,200.0,4.0,1.0,128.0,36.0
65,65,10.0,200.0,4.0,1.0,129.0,35.5
66,66,10.0,200.0,4.0,1.0,137.0,31.5
67,67,10.0,200.0,4.0,1.0,129.0,35.5
68,68,10.0,200.0,4.0,1.0,128.0,36.0
69,69,10.0,200.0,4.0,1.0,129.0,35.5
70,70,10.0,200.0,4.0,1.0,126.0,37.0
71,71,10.0,200.0,4.0,1.0,132.0,34.0
72,72,10.0,200.0,4.0,1.0,129.0,35.5
73,73,10.0,200.0,4.0,1.0,133.0,33.5
74,74,10.0,200.0,4.0,1.0,133.0,33.5
75,75,10.0,200.0,4.0,1.0,130.0,35.0
76,76,10.0,200.0,4.0,1.0,131.0,34.5
77,77,10.0,200.0,4.0,1.0,134.0,33.0
78,78,10.0,200.0,4.0,1.0,132.0,34.0
79,79,10.0,200.0,4.0,1.0,128.0,36.0
80,80,10.0,200.0,4.0,1.0,134.0,33.0
81,81,10.0,200.0,4.0,1.0,131.0,34.5
82,82,10.0,200.0,4.0,1.0,128.0,36.0
83,83,10.0,200.0,4.0,1.0,136.0,32.0
84,84,10.0,200.0,4.0,1.0,133.0,33.5
85,85,10.0,200.0,4.0,1.0,129.0,35.5
86,86,10.0,200.0,4.0,1.0,131.0,34.5
87,87,10.0,200.0,4.0,1.0,131.0,34.5
88,88,10.0,200.0,4.0,1.0,128.0,36.0
89,89,10.0,200.0,4.0,1.0,129.0,35.5
90,90,10.0,200.0,4.0,2.0,178.0,11.0
91,91,10.0,200.0,4.0,2.0,176.0,12.0
92,92,10.0,200.0,4.0,2.0,174.0,13.0
93,93,10.0,200.0,4.0,2.0,176.0,12.0
94,94,10.0,200.0,4.0,2.0,173.0,13.5
95,95,10.0,200.0,4.0,2.0,176.0,12.0
96,96,10.0,200.0,4.0,2.0,175.0,12.5
97,97,10.0,200.0,4.0,2.0,173.0,13.5
98,98,10.0,200.0,4.0,2.0,174.0,13.0
99,99,10.0,200.0,4.0,2.0,171.0,14.5
100,100,10.0,200.0,4.0,2.0,175.0,12.5
101,101,10.0,200.0,4.0,2.0,175.0,12.5
102,102,10.0,200.0,4.0,2.0,172.0,14.0
103,103,10.0,200.0,4.0,2.0,178.0,11.0
104,104,10.0,200.0,4.0,2.0,175.0,12.5
105,105,10.0,200.0,4.0,2.0,174.0,13.0
106,106,10.0,200.0,4.0,2.0,175.0,12.5
107,107,10.0,200.0,4.0,2.0,176.0,12.0
108,108,10.0,200.0,4.0,2.0,179.0,10.5
109,109,10.0,200.0,4.0,2.0,177.0,11.5
110,110,10.0,200.0,4.0,2.0,175.0,12.5
111,111,10.0,200.0,4.0,2.0,174.0,13.0
112,112,10.0,200.0,4.0,2.0,173.0,13.5
113,113,10.0,200.0,4.0,2.0,176.0,12.0
114,114,10.0,200.0,4.0,2.0,176.0,12.0
115,115,10.0,200.0,4.0,2.0,174.0,13.0
116,116,10.0,200.0,4.0,2.0,171.0,14.5
117,117,10.0,200.0,4.0,2.0,172.0,14.0
118,118,10.0,200.0,4.0,2.0,171.0,14.5
119,119,10.0,200.0,4.0,2.0,172.0,14.0
120,120,10.0,200.0,4.0,2.0,172.0,14.0
121,121,10.0,200.0,4.0,2.0,171.0,14.5
122,122,10.0,200.0,4.0,2.0,175.0,12.5
123,123,10.0,200.0,4.0,2.0,172.0,14.0
124,124,10.0,200.0,4.0,2.0,178.0,11.0
125,125,10.0,200.0,4.0,2.0,172.0,14.0
126,126,10.0,200.0,4.0,2.0,172.0,14.0
127,127,10.0,200.0,4.0,2.0,178.0,11.0
128,128,10.0,200.0,4.0,2.0,170.0,15.0
129,129,10.0,200.0,4.0,2.0,173.0,13.5
130,130,10.0,200.0,4.0,2.0,173.0,13.5
131,131,10.0,200.0,4.0,2.0,177.0,11.5
132,132,10.0,200.0,4.0,2.0,171.0,14.5
133,133,10.0,200.0,4.0,2.0,181.0,9.5
134,134,10.0,200.0,4.0,2.0,172.0,14.0
135,135,10.0,200.0,4.0,2.0,172.0,14.0
136,136,10.0,200.0,4.0,2.0,172.0,14.0
137,137,10.0,200.0,4.0,2.0,175.0,12.5
138,138,10.0,200.0,4.0,2.0,173.0,13.5
139,139,10.0,200.0,4.0,2.0,173.0,13.5
140,140,10.0,200.0,4.0,2.0,180.0,10.0
141,141,10.0,200.0,4.0,2.0,174.0,13.0
142,142,10.0,200.0,4.0,2.0,175.0,12.5
143,143,10.0,200.0,4.0,2.0,172.0,14.0
144,144,10.0,200.0,4.0,2.0,172.0,14.0
145,145,10.0,200.0,4.0,2.0,170.0,15.0
146,146,10.0,200.0,4.0,2.0,172.0,14.0
147,147,10.0,200.0,4.0,2.0,177.0,11.5
148,148,10.0,200.0,4.0,2.0,177.0,11.5
149,149,10.0,200.0,4.0,2.0,172.0,14.0
150,150,10.0,200.0,4.0,2.0,172.0,14.0
151,151,10.0,200.0,4.0,2.0,171.0,14.5
152,152,10.0,200.0,4.0,2.0,174.0,13.0
153,153,10.0,200.0,4.0,2.0,172.0,14.0
154,154,10.0,200.0,4.0,2.0,174.0,13.0
155,155,10.0,200.0,4.0,2.0,171.0,14.5
156,156,10.0,200.0,4.0,2.0,176.0,12.0
157,157,10.0,200.0,4.0,2.0,174.0,13.0
158,158,10.0,200.0,4.0,2.0,176.0,12.0
159,159,10.0,200.0,4.0,2.0,174.0,13.0
160,160,10.0,200.0,4.0,2.0,176.0,12.0
161,161,10.0,200.0,4.0,2.0,172.0,14.0
162,162,10.0,200.0,4.0,2.0,173.0,13.5
163,163,10.0,200.0,4.0,2.0,172.0,14.0
164,164,10.0,200.0,4.0,2.0,174.0,13.0
165,165,10.0,200.0,4.0,2.0,177.0,11.5
166,166,10.0,200.0,4.0,2.0,178.0,11.0
167,167,10.0,200.0,4.0,2.0,172.0,14.0
168,168,10.0,200.0,4.0,2.0,177.0,11.5
169,169,10.0,200.0,4.0,2.0,174.0,13.0
170,170,10.0,200.0,4.0,2.0,169.0,15.5
171,171,10.0,200.0,4.0,2.0,170.0,15.0
172,172,10.0,200.0,4.0,2.0,173.0,13.5
173,173,10.0,200.0,4.0,2.0,174.0,13.0
174,174,10.0,200.0,4.0,2.0,173.0,13.5
175,175,10.0,200.0,4.0,2.0,172.0,14.0
176,176,10.0,200.0,4.0,2.0,173.0,13.5
177,177,10.0,200.0,4.0,2.0,171.0,14.5
178,178,10.0,200.0,4.0,2.0,174.0,13.0
179,179,10.0,200.0,4.0,2.0,173.0,13.5
180,180,10.0,200.0,4.0,3.0,154.0,23.0
181,181,10.0,200.0,4.0,3.0,160.0,20.0
182,182,10.0,200.0,4.0,3.0,151.0,24.5
183,183,10.0,200.0,4.0,3.0,160.0,20.0
184,184,10.0,200.0,4.0,3.0,158.0,21.0
185,185,10.0,200.0,4.0,3.0,149.0,25.5
186,186,10.0,200.0,4.0,3.0,157.0,21.5
187,187,10.0,200.0,4.0,3.0,154.0,23.0
188,188,10.0,200.0,4.0,3.0,158.0,21.0
189,189,10.0,200.0,4.0,3.0,158.0,21.0
190,190,10.0,200.0,4.0,3.0,153.0,23.5
191,191,10.0,200.0,4.0,3.0,147.0,26.5
192,192,10.0,200.0,4.0,3.0,161.0,19.5
193,193,10.0,200.0,4.0,3.0,152.0,24.0
194,194,10.0,200.0,4.0,3.0,164.0,18.0
195,195,10.0,200.0,4.0,3.0,154.0,23.0
196,196,10.0,200.0,4.0,3.0,150.0,25.0
197,197,10.0,200.0,4.0,3.0,151.0,24.5
198,198,10.0,200.0,4.0,3.0,151.0,24.5
199,199,10.0,200.0,4.0,3.0,153.0,23.5
200,200,10.0,200.0,4.0,3.0,159.0,20.5
201,201,10.0,200.0,4.0,3.0,149.0,25.5
202,202,10.0,200.0,4.0,3.0,148.0,26.0
203,203,10.0,200.0,4.0,3.0,153.0,23.5
204,204,10.0,200.0,4.0,3.0,152.0,24.0
205,205,10.0,200.0,4.0,3.0,156.0,22.0
206,206,10.0,200.0,4.0,3.0,150.0,25.0
207,207,10.0,200.0,4.0,3.0,149.0,25.5
208,208,10.0,200.0,4.0,3.0,152.0,24.0
209,209,10.0,200.0,4.0,3.0,164.0,18.0
210,210,10.0,200.0,4.0,3.0,156.0,22.0
211,211,10.0,200.0,4.0,3.0,155.0,22.5
212,212,10.0,200.0,4.0,3.0,150.0,25.0
213,213,10.0,200.0,4.0,3.0,148.0,26.0
214,214,10.0,200.0,4.0,3.0,155.0,22.5
215,215,10.0,200.0,4.0,3.0,152.0,24.0
216,216,10.0,200.0,4.0,3.0,159.0,20.5
217,217,10.0,200.0,4.0,3.0,149.0,25.5
218,218,10.0,200.0,4.0,3.0,151.0,24.5
219,219,10.0,200.0,4.0,3.0,156.0,22.0
220,220,10.0,200.0,4.0,3.0,154.0,23.0
221,221,10.0,200.0,4.0,3.0,154.0,23.0
222,222,10.0,200.0,4.0,3.0,148.0,26.0
223,223,10.0,200.0,4.0,3.0,153.0,23.5
224,224,10.0,200.0,4.0,3.0,148.0,26.0
225,225,10.0,200.0,4.0,3.0,152.0,24.0
226,226,10.0,200.0,4.0,3.0,151.0,24.5
227,227,10.0,200.0,4.0,3.0,150.0,25.0
228,228,10.0,200.0,4.0,3.0,149.0,25.5
229,229,10.0,200.0,4.0,3.0,152.0,24.0
230,230,10.0,200.0,4.0,3.0,149.0,25.5
231,231,10.0,200.0,4.0,3.0,160.0,20.0
232,232,10.0,200.0,4.0,3.0,151.0,24.5
233,233,10.0,200.0,4.0,3.0,149.0,25.5
234,234,10.0,200.0,4.0,3.0,149.0,25.5
235,235,10.0,200.0,4.0,3.0,152.0,24.0
236,236,10.0,200.0,4.0,3.0,154.0,23.0
237,237,10.0,200.0,4.0,3.0,149.0,25.5
238,238,10.0,200.0,4.0,3.0,150.0,25.0
239,239,10.0,200.0,4.0,3.0,162.0,19.0
240,240,10.0,200.0,4.0,3.0,147.0,26.5
241,241,10.0,200.0,4.0,3.0,158.0,21.0
242,242,10.0,200.0,4.0,3.0,159.0,20.5
243,243,10.0,200.0,4.0,3.0,156.0,22.0
244,244,10.0,200.0,4.0,3.0,151.0,24.5
245,245,10.0,200.0,4.0,3.0,154.0,23.0
246,246,10.0,200.0,4.0,3.0,150.0,25.0
247,247,10.0,200.0,4.0,3.0,151.0,24.5
248,248,10.0,200.0,4.0,3.0,154.0,23.0
249,249,10.0,200.0,4.0,3.0,150.0,25.0
250,250,10.0,200.0,4.0,3.0,153.0,23.5
251,251,10.0,200.0,4.0,3.0,152.0,24.0
252,252,10.0,200.0,4.0,3.0,150.0,25.0
