,n,m,c,tipoFrec,maxDist,maxDist%
0,10.0,300.0,4.0,1.0,193.0,35.66666666666667
1,10.0,300.0,4.0,1.0,192.0,36.0
2,10.0,300.0,4.0,1.0,192.0,36.0
3,10.0,300.0,4.0,1.0,195.0,35.0
4,10.0,300.0,4.0,1.0,190.0,36.666666666666664
5,10.0,300.0,4.0,1.0,191.0,36.333333333333336
6,10.0,300.0,4.0,1.0,202.0,32.66666666666667
7,10.0,300.0,4.0,1.0,194.0,35.33333333333333
8,10.0,300.0,4.0,1.0,193.0,35.66666666666667
9,10.0,300.0,4.0,1.0,196.0,34.66666666666667
10,10.0,300.0,4.0,1.0,196.0,34.66666666666667
11,10.0,300.0,4.0,1.0,193.0,35.66666666666667
12,10.0,300.0,4.0,1.0,195.0,35.0
13,10.0,300.0,4.0,1.0,194.0,35.33333333333333
14,10.0,300.0,4.0,1.0,190.0,36.666666666666664
15,10.0,300.0,4.0,1.0,188.0,37.333333333333336
16,10.0,300.0,4.0,1.0,192.0,36.0
17,10.0,300.0,4.0,1.0,192.0,36.0
18,10.0,300.0,4.0,1.0,202.0,32.66666666666667
19,10.0,300.0,4.0,1.0,190.0,36.666666666666664
20,10.0,300.0,4.0,1.0,196.0,34.66666666666667
21,10.0,300.0,4.0,1.0,191.0,36.333333333333336
22,10.0,300.0,4.0,1.0,187.0,37.666666666666664
23,10.0,300.0,4.0,1.0,201.0,33.0
24,10.0,300.0,4.0,1.0,192.0,36.0
25,10.0,300.0,4.0,1.0,196.0,34.66666666666667
26,10.0,300.0,4.0,1.0,197.0,34.33333333333333
27,10.0,300.0,4.0,1.0,197.0,34.33333333333333
28,10.0,300.0,4.0,1.0,193.0,35.66666666666667
29,10.0,300.0,4.0,1.0,198.0,34.0
30,10.0,300.0,4.0,1.0,190.0,36.666666666666664
31,10.0,300.0,4.0,1.0,189.0,37.0
32,10.0,300.0,4.0,1.0,198.0,34.0
33,10.0,300.0,4.0,1.0,199.0,33.66666666666667
34,10.0,300.0,4.0,1.0,196.0,34.66666666666667
35,10.0,300.0,4.0,1.0,190.0,36.666666666666664
36,10.0,300.0,4.0,1.0,191.0,36.333333333333336
37,10.0,300.0,4.0,1.0,194.0,35.33333333333333
38,10.0,300.0,4.0,1.0,194.0,35.33333333333333
39,10.0,300.0,4.0,1.0,196.0,34.66666666666667
40,10.0,300.0,4.0,1.0,198.0,34.0
41,10.0,300.0,4.0,1.0,188.0,37.333333333333336
42,10.0,300.0,4.0,1.0,190.0,36.666666666666664
43,10.0,300.0,4.0,1.0,191.0,36.333333333333336
44,10.0,300.0,4.0,1.0,191.0,36.333333333333336
45,10.0,300.0,4.0,1.0,190.0,36.666666666666664
46,10.0,300.0,4.0,1.0,200.0,33.33333333333333
47,10.0,300.0,4.0,1.0,196.0,34.66666666666667
48,10.0,300.0,4.0,1.0,195.0,35.0
49,10.0,300.0,4.0,1.0,193.0,35.66666666666667
50,10.0,300.0,4.0,1.0,193.0,35.66666666666667
51,10.0,300.0,4.0,1.0,197.0,34.33333333333333
52,10.0,300.0,4.0,1.0,197.0,34.33333333333333
53,10.0,300.0,4.0,1.0,192.0,36.0
54,10.0,300.0,4.0,1.0,195.0,35.0
55,10.0,300.0,4.0,1.0,190.0,36.666666666666664
56,10.0,300.0,4.0,1.0,192.0,36.0
57,10.0,300.0,4.0,1.0,195.0,35.0
58,10.0,300.0,4.0,1.0,192.0,36.0
59,10.0,300.0,4.0,1.0,193.0,35.66666666666667
60,10.0,300.0,4.0,1.0,190.0,36.666666666666664
61,10.0,300.0,4.0,1.0,199.0,33.66666666666667
62,10.0,300.0,4.0,1.0,191.0,36.333333333333336
63,10.0,300.0,4.0,1.0,190.0,36.666666666666664
64,10.0,300.0,4.0,1.0,194.0,35.33333333333333
65,10.0,300.0,4.0,1.0,190.0,36.666666666666664
66,10.0,300.0,4.0,1.0,198.0,34.0
67,10.0,300.0,4.0,1.0,187.0,37.666666666666664
68,10.0,300.0,4.0,1.0,197.0,34.33333333333333
